key|note_word|pos_tag|occurrences|exclude_filters|include_filters
uniq0|This|DT|1|['filters/regex/salutations/name_age.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq1|on|IN|1|['filters/regex/dates/dd_mm_transformed.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq2|Sternal|NNP|2|['filters/blacklists/names_blacklist_sub_100_fps.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq3|crunching|VBG|1|[]|[]
uniq4|TUNNEL|NNP|1|['filters/blacklists/updated_address_blacklist.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq5|7.5|CD|1|['filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq6|750|CD|1|['filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq7|Mailing|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq8|thicker|NN|1|[]|[]
uniq9|wiht|NN|1|[]|[]
uniq10|S4.|NNP|1|[]|[]
uniq11|Abdomen|NNP|1|['filters/regex/addresses/city_state_transformed.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq12|Soft|NNP|1|['filters/regex/addresses/city_state_transformed.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq13|ND|NNP|1|['filters/regex/addresses/city_state_transformed.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq14|IVCD|NNP|1|[]|[]
uniq15|narrower.|JJ|1|[]|[]
uniq16|SDU|NNP|1|[]|[]
uniq17|JAR|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq18|DOA|NNP|1|['filters/blacklists/updated_address_blacklist.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq19|PCP|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/regex/organizations/admitted_to_hospital_7chars.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq20|2|CD|2|['filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq21|Smokes|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq22|paresthesias.|JJ|1|[]|[]
uniq23|EX|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq24|escalating|VBG|1|[]|[]
uniq25|inferiolateral|JJ|2|[]|[]
uniq26|Pump|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json', 'filters/blacklists/updated_address_blacklist.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq27|DM|NNP|1|['filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq28|RISS|NNP|1|['filters/blacklists/names_blacklist_sub_100_fps.json']|[]
uniq29|Prophy|NNP|1|[]|[]
uniq30|EHMS|NNP|1|[]|[]
uniq31|New|NNP|1|['filters/blacklists/updated_address_blacklist.json']|['filters/whitelists/whitelist_plus_fps-3_cleaned.json']
uniq32|XGT|NNP|1|[]|[]
